OBJECTID,HSISID,NAME,ADDRESS1,CITY,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,PERMITID,X,Y,GEOCODESTATUS
1894538,4092018072,Starbucks Target 1824,1040 Timber DR E ,GARNER,27529,+19196612017,2019-03-11,19389,-78.57962906,35.6874773,M
1894539,4092018310,Mission Market Cafe,124 N SALEM ST,APEX,27502,+19196294064,2020-01-28,19394,-78.85070582,35.73145842,M
1894540,4092017039,BISTRO IN THE PARK,201 HARRISON OAKS BLVD,CARY,27513-5544,+19196771840,2015-11-12,19396,-78.77138943,35.83301257,M
1894541,4092017496,WAFFLE HOUSE #2220,3400 OLYMPIA DR ,RALEIGH,27603,+19194805212,2016-12-29,19401,-78.65166168,35.73409368,M
1894542,4092015284,FIREHOUSE SUBS #122,260 GRANDE HEIGHTS DR ,CARY,27513,+19194681822,2008-11-06,19405,-78.7805746,35.804703,M
1894543,4092015383,WHITE OAK STADIUM 14,1205 Timber DR E,GARNER,27529,+19197797499,2009-04-17,19406,-78.57456476,35.68908515,M
1894546,4092016037,Lepakshi,10970 CHAPEL HILL RD ,MORRISVILLE,27560,+19194810910,2011-10-27,19428,-78.84057157,35.85637651,M
1894547,4092018182,Dunkin Donuts/Baskin Robbins #331785,7137 KNIGHTDALE BLVD ,KNIGHTDALE,27545,+19192179603,2019-09-24,19437,-78.48976003,35.79874455,M
1894548,4092015115,Super Wok,1401-L SE Maynard RD ,CARY,27511,+19193888338,2008-04-23,19416,-78.76381917,35.78923034,M
1894550,4092017162,JIMMY JOHN'S #3436,2012 BOULDERSTONE WAY ,CARY,27519,+19194610171,2016-02-23,19449,-78.84859346,35.79156535,M
1894552,4092016616,TAJ MAHAL INDIAN CUISINE,6611 FALLS OF NEUSE RD ,RALEIGH,27615,+19198482262,2014-02-05,19451,-78.62444941,35.87396756,M
1894553,4092018221,Showmars,4203 CORNERS PKWY,RALEIGH,27617,+19848880161,2019-11-07,19455,-78.78791806,35.91890974,M
