OBJECTID,HSISID,NAME,ADDRESS1,CITY,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,PERMITID,X,Y,GEOCODESTATUS
1927902,4092015670,JIMMY JOHNS # 1027,8005-120 BRIER CREEK PKY ,RALEIGH,27617,+19198065616,2010-06-24,20025,-78.78203745,35.91227904,M
1927905,4092016365,SHEETZ #507,7900 FAYETTEVILLE  RD ,RALEIGH,27603,+19193290707,2013-01-30,20056,-78.69847972,35.66673892,M
1927906,4092014686,Longhorn Steakhouse #277,1411 Beaver Creek Commons DR ,APEX,27502,+19193034889,2006-09-22,20070,-78.88386002,35.74686627,M
1927907,4092018582,Wendy's,1900 LAKE PINE DR ,APEX,27602,+19193878640,2021-03-24,20072,-78.82229737,35.74322253,M
1927908,4092016929,41 Hundred,4100 MAIN AT NORTH HILLS  ST ,RALEIGH,27609,+19195718773,2015-05-22,20097,-78.64382291,35.83596182,M
1927909,4092015148,Sake House Japanese Restaurant,1141 Falls River AVE ,RALEIGH,27614,+19196765788,2008-06-18,20101,-78.58877443,35.90718863,M
1927910,4092016479,THE OVAL,1910 ENTREPRENEUR DR ,RALEIGH,27606,+19195137602,2013-08-02,20106,-78.67386461,35.77009309,M
1927912,4092017585,MCALISTER'S DELI #100958,1061 PINE PLAZA DR ,APEX,27523,+19193626518,2017-04-27,20126,-78.82939266,35.74657076,M
1927914,4092017557,LITTLE TOKYO RESTAURANT,1401 SE MAYNARD RD ,CARY,27511,+19194675011,2017-03-27,20131,-78.7642317,35.78997989,M
1927916,4092018398,Bul Box,1125 HATCHES POND LN,CARY,27519,+19196502549,2020-07-06,20143,-78.84968108,35.82663773,M
1927917,4092017198,THE FORKS CAFETERIA AND CATERING,339 S BROOKS ST ,WAKE FOREST,27587-2901,+19195566544,2016-04-18,20138,-78.50934374,35.97532293,M
1927919,4092018541,Chai's Asian Bistro,8347 CREEDMOOR  RD ,RALEIGH,27613,+19193413715,2021-02-22,20164,-78.68223183,35.90105252,M
