"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
"72584256-B897-4B95-0BC0C34F686A4E5E","ASUKA","2101 S MAIN ST ","WAKE FOREST","NC","27587","","","19195702828"
"72C0C403-0BCA-9C8F-C3511B15107F1DC0","BLAZE PIZZA #1062","1024 MARKET CENTER DRIVE","MORRISVILLE","NC","27560","","","19194659590"
"72D5CBA2-C1DB-9DED-C19A99E8BEC4AE81","HIBACHI SUSHI &amp; SUPREME BUFFET","6711 GLENWOOD AVE.","RALEIGH","NC","27612","","","19197204347"
"72E897BC-AAD2-E6A7-C9B9BE96245D495A","STATE OF BEER","401 HILLSBOROUGH ST","RALEIGH","NC","27603","","","19195469116"
"72FC479B-E6C9-93CA-452B48F391A577DD","ORGANIC FESTIVAL","5951 POYNER VILLAGE PARKWAY","RALEIGH","NC","27616","","",""
"7337EDB7-FF1F-6311-1C5CB0613EE25673","Amber Flavors and Taste","3607 DAVIS DR ","MORRISVILLE","NC","27560","","","19195855333"
"734CD670-F778-5C21-ACE1E6E01C002C44","LEVEL UP/VIRGIL'S TAQUERIA","126 S. SALISBURY ST.","RALEIGH","NC","27601","","","19198333866"
"735A2B2D-F21B-6051-7256149BF4F20425","Sheetz #399","1600 Aviation PKY ","MORRISVILLE","NC","27560","","","19198400466"
"739F39DC-C087-6327-E4E209FFFD6E9071","Carillon Assisted Living of Wake Forest Dining","3218 Heritage Trade Drive","Wake Forest","NC","27587","","","19195692101"
"73BC50CE-AB93-7DF9-A9A7E2C3D419EAB6","Wine &amp; Beer 101, Inc.","5910 DURALEIGH RD ","RALEIGH","NC","27612","","","19197588740"
"74","AMRA'S","101 GLENWOOD AVE ","RALEIGH","NC","27603","","","111111111111111"
"7401","Rum Runners","208 E MARTIN ST ","RALEIGH","NC","27601-1862","","","111111111111111"
"74179D11-9B1A-9BF8-2B54889D620A135F","DORRY'S DOWNTOWN DELI","211 E CHATHAM ST","CARY","NC","27511-3427","","","19193883030"
"74542D46-1691-F837-5ECB11CAB6707572","JUSTIN'S GRILL","1322-A E MILLBROOK RD ","RALEIGH","NC","27609","","","19198762007"
